"Player","Hands","VPIP","PFR","3Bet PF","2Bet PF & Fold","2Bet PF & Fold OOP","4Bet+ Ratio","RFI (EP)","RFI (MP)","RFI (CO)","RFI (BU)","RFI (SB)","CBet F","CBet T","Fold to F Float","Fold to T Float","CBet F & Fold","RCp XFf OOP","WTSD %","WWSF","WSD","Total AFq"
"JEDICGOESMOD","3,917","23.49","19.22","8.51","42.39","48.57","1.60","17.01","18.37","24.81","44.19","44.29","46.67","36.17","65.12","46.67","44.44","55.56","29.74","40.91","60.70","42.08"
"joakim1love","1,401","23.97","20.01","9.98","42.50","31.58","1.91","21.14","18.58","28.81","45.08","37.14","38.81","40.74","60.00","0.00","40.00","16.67","35.22","48.58","60.92","48.17"
"Kakost","1,670","21.65","14.76","2.36","18.92","11.11","2.05","16.46","20.87","29.70","31.61","23.81","51.28","62.96","100.00","50.00","25.00","77.78","32.10","36.93","53.10","37.88"
"Kenzoo555","1,023","25.32","16.88","4.32","40.91","25.00","0.00","20.00","20.71","27.13","36.90","26.32","35.44","63.64","28.57","-","100.00","40.00","31.44","39.30","55.56","38.51"
"kirby777","3,200","22.61","17.94","7.93","36.05","34.69","2.11","21.52","24.62","29.02","41.01","26.74","47.91","62.16","64.86","33.33","53.85","87.50","26.83","38.21","52.53","40.57"
"KlasPott","1,658","24.63","18.74","5.77","31.25","30.00","1.99","21.43","22.18","30.19","35.00","48.28","85.31","50.00","100.00","75.00","57.14","42.86","28.61","46.46","51.49","53.33"
"knasboll","3,328","23.81","18.97","8.95","48.51","38.46","3.04","15.12","22.00","26.43","50.88","33.13","38.03","55.56","60.00","25.00","45.45","28.57","29.37","43.59","57.89","45.87"
"kongo20","1,194","32.79","21.78","7.53","41.67","36.84","1.98","20.31","19.87","27.66","68.69","59.09","53.91","59.46","80.00","66.67","85.71","57.14","20.56","37.38","51.52","45.83"
"KUNGIZZA","3,084","17.18","11.45","4.16","48.15","39.13","0.86","11.11","14.62","19.67","20.68","22.05","54.89","54.55","90.91","75.00","42.86","100.00","24.20","37.81","62.04","44.33"
"Latexallergiker","2,594","26.00","19.79","9.69","32.43","36.00","1.32","19.82","22.26","22.30","47.45","42.98","45.42","53.70","76.47","60.00","36.36","33.33","28.32","39.82","53.13","42.98"
"Leahan","1,273","34.00","24.70","15.66","22.50","0.00","0.00","25.69","30.26","37.42","41.38","32.20","76.62","61.67","60.00","66.67","50.00","30.00","29.16","44.69","50.47","54.66"
"Lskeblask","2,170","27.95","7.37","3.44","0.00","0.00","0.61","11.56","8.22","9.33","7.25","13.58","56.67","80.00","71.43","100.00","33.33","100.00","26.42","37.58","56.55","40.55"
"MagnaScurra","1,289","24.19","20.25","10.04","42.31","30.00","4.67","22.44","20.00","32.52","41.77","48.78","54.33","53.49","66.67","60.00","25.00","50.00","25.00","39.45","43.75","49.59"
"marijastad","3,491","13.80","0.12","0.15","-","-","0.00","0.00","0.00","0.00","0.00","0.88","-","-","-","-","-","-","29.73","36.62","62.11","26.65"
"MatsJonsson","4,188","22.13","19.10","11.33","46.90","48.94","1.24","14.23","18.98","29.25","46.62","43.68","48.47","54.74","60.00","50.00","58.33","72.73","25.07","46.30","61.20","48.04"
"MayNeymisBonD","4,093","20.45","16.28","7.61","20.00","13.51","5.28","17.06","13.12","20.63","33.92","39.13","62.69","44.95","61.90","22.22","14.29","38.46","32.54","47.56","54.25","50.35"
"Mercy23","1,027","69.50","40.00","26.90","6.06","7.14","6.45","46.00","48.09","47.37","43.24","49.12","60.25","49.30","54.55","62.50","28.57","60.00","29.14","40.40","50.00","49.43"
"Mirakeltrissen","2,799","30.90","20.23","4.53","44.59","28.57","1.66","24.77","28.31","32.66","42.73","37.23","69.74","43.33","84.62","57.14","46.67","60.00","29.63","38.49","50.00","44.96"
"MissatDrag","1,714","15.53","10.06","2.76","27.78","33.33","0.00","11.22","11.52","17.45","24.17","27.54","43.53","42.86","44.44","0.00","0.00","0.00","20.90","38.81","57.14","39.14"
"Monco11","2,006","56.82","21.15","8.94","2.00","0.00","0.43","27.35","30.80","25.51","25.97","34.15","53.24","75.47","93.33","100.00","23.08","44.44","27.43","39.51","44.03","44.70"
"MrIcognito","1,643","36.25","24.35","7.12","60.87","51.85","1.52","29.61","33.17","34.44","46.46","42.11","55.93","53.33","42.86","33.33","87.50","77.78","25.75","48.49","53.15","52.06"
"Myra","1,242","44.88","11.97","7.78","46.15","16.67","1.00","5.31","7.69","12.21","13.68","25.76","18.42","33.33","16.67","50.00","-","100.00","28.80","37.12","53.52","37.68"
"NoMoMrNice","1,143","22.97","19.61","7.43","47.83","16.67","3.57","19.51","21.54","28.33","55.13","36.96","48.87","52.50","42.86","-","33.33","0.00","25.96","44.68","59.02","48.99"
"OnyxOzul","1,190","23.82","20.45","8.62","48.28","41.67","2.63","19.15","19.50","23.57","58.06","30.00","60.31","50.00","38.46","100.00","63.64","33.33","24.22","44.84","70.37","50.15"
"Owlich","4,542","22.30","17.35","8.19","41.00","40.00","1.56","14.39","18.74","25.90","34.72","43.17","50.80","54.74","54.84","33.33","46.15","46.15","26.05","45.05","52.40","49.96"
"Papsovic","1,788","29.21","15.77","5.72","25.45","20.00","1.15","17.95","24.49","30.77","28.36","28.36","56.30","53.13","92.31","50.00","55.56","60.00","21.59","40.53","54.08","44.17"
